,cargo,empresa,sobre_empresa,funciones,tipo_empleo,min_salario,max_salario,ciudad,pais,fecha_publicacion,fecha_cierre,categoria,url_vacante
0,ANALISTA II -DESARROLLO Y MANTENIMIENTO,Porvenir,"En Porvenir trabajamos todos los días para garantizar el mejor futuro a nuestros más de 10 millones de Clientes, administrando con responsabilidad sus recursos y ofreciendo procesos íntegros que garanticen el rendimiento y la seguridad de sus ahorros.     ","¡Únete a nuestro Talentoso Equipo!   Si eres profesional en Ingeniería de Sistemas o Telecomunicaciones con conocimientos en lenguaje de programación java, oracle pl/sql, sobre servidores de aplicaciones web logic y oracle, construccion de servicios web (rest/soap). ",FULL_TIME,4200000,4600000,Bogota,Colombia,6/2/2021,6/17/2021,software_informatica_y_telecomunicaciones,https://www.magneto365.com/es/empleos/porvenir/vacantes/analista-ii-desarrollo-y-mantenimiento-827837dd-a8b1-4f0e-bf13-892f0e6d7999?f_magneto=1&is_public=0
1,DESARROLLADOR SENIOR.NET,Colsubsidio Empleo,,"Importante empresa de tecnología requiere para su equipo de trabajo DESARROLLADOR SENIOR.NET Profesional, tecnólogo o estudiante de ingeniería de sistemas, software o a fines con experiencia de 3 años en desarrollo.NET, manejo de bases de datos SQL Server, ASP.NET, MVC C#, Jquery. Horario: Lunes a Viernes 8:00 am a 6:00 pm. Sábados medio día. Salario: $2.500.000 a 4.000.000 (Acorde a experiencia y formación) + Prestaciones de ley. Lugar de trabajo: Home Office. Contrato: Obra o labor.  ",FULL_TIME,,,Bogota,Colombia,6/2/2021,6/17/2021,ingenierias,https://www.magneto365.com/es/empleos/colsubsidio-empleo/vacantes/desarrollador-senior-net?f_magneto=1&is_public=0
2,Auxiliar Administrativo con Excel - bilingüe ,,,"Américas BPS es una empresa con presencia a nivel nacional inició operaciones en el año 2003, en la cual los conceptos como la fidelización del cliente, la actualización tecnológica, la innovación, el enfoque en resultados y una sólida trayectoria en el desarrollo de procesos de negocio nos ha convertido en una de las principales compañías del sector, que ofrece soluciones únicas y flexibles de acuerdo a las necesidades de los clientes y del mercado.    Hoy estamos en búsqueda de los mejores talentos, si eres el mejor, postula tu Hoja de vida con nosotros. Requerimos un  Requerimos AUXILIARADMINISTRATIVO CON EXCEL.",FULL_TIME,,,Medellin,Colombia,6/2/2021,6/17/2021,call_center_telemercadeo_bpo,https://www.magneto365.com/es/empleos/magneto/vacantes/auxiliar-administrativo-con-excel-bilingue
3,Supervisor Operativo en alimentos,Colsubsidio Empleo,,"Importante empresa solicita SUPERVISOR OPERATIVO  Técnico o tecnología en administración, ingeniería industrial, logística de procesos, alimentos o relacionados. Experiencia de 1-2 años en industria de alimentos, pastelerías, panaderías, o del sector,  con Manejo de Excel. y Entusiasmo por entornos de emprendimiento.  Horarios:  Lun-Vie: 7:30- 4:00 Sáb: 7:30 -12:30 Salario: Desde $1.300.000 y depende las habilidades hasta  $1.500.00.  Tipo de contrato: Fijo inicialmente. Lugar de trabajo: Barrio Las Villas, Bogotá. ",FULL_TIME,1300000,1500000,Bogota,Colombia,6/2/2021,6/17/2021,produccion_operarios_manufactura,https://www.magneto365.com/es/empleos/colsubsidio-empleo/vacantes/supervisor-operativo-en-alimentos?f_magneto=1&is_public=0
4, Analista de procesos y proyectos,Talenta365,,"Contexto de la compañía: Talenta 365 impulsa el crecimiento de millones de personas y cientos de organizaciones en latino América a través de innovación tecnológica en talento humano, específicamente en el suministro de soluciones de punta en atracción, evaluación y aprendizaje. Actualmente la compañía apoya el 40% de las 500 compañías más grandes del país.  Misión del cargo:Entender el modelo de negocio, el plan estratégico y de operaciones de la organización y traducirlo en requerimientos técnicos y funcionales concretos para garantizar que los productos resuelvan los problemas correctos, satisfagan las expectativas del usuario y logren valor comercial. ",FULL_TIME,,,Otra (Colombia),Colombia,6/1/2021,6/16/2021,software_informatica_y_telecomunicaciones,https://www.magneto365.com/es/empleos/talenta365/vacantes/analista-de-procesos-y-proyectos?f_magneto=1&is_public=0
5,PRACTICANTES DIFERENTES CARRERAS,Colsubsidio Empleo,,Importante Compañía del sector textil solicita: PRACTICANTES  ,,,,,,,,,
 Contrato de aprendizaje SMLV ,,,,,,,,,,,,,
 Horario: lunes a viernes de 7:30 a 5:30 ,,,,,,,,,,,,,
 REQUISITOS Tener el aval de la universidad para realizar las prácticas de manera inmediata Que la universidad este avalada por el Sena para poder realizar contrato de aprendizaje,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
